	ID_Ref	Genbank Acc	Description (Sigenae annotation)	Mean Males	StDev Males	Mean Females	StDev Females	Abs t value	df	Raw p value	Adj p value
	5674	AB084783	(sp:P18948) Vitellogenin-6 OS=Caenorhabditis elegans GN=vit-6 PE=1 SV=5	-0.08953792	0.2069803	2.1434226	0.70477533	10.530674	12.0	2.042679E-7	0.0065049115
	38619	CU681768	0	0.21655603	0.21042858	2.2241137	0.60480106	10.860068	13.0	6.852137E-8	0.0021832965
	39471	AM868901	0	-0.75590634	0.34318888	0.42947373	0.3288623	8.638976	21.0	2.3512625E-8	7.494884E-4
	14733	AM860121	(sp:Q810T2) G2/mitotic-specific cyclin-B3 OS=Mus musculus GN=Ccnb3 PE=2 SV=2	0.31090894	0.20467135	1.3127617	0.26435503	10.380643	20.0	1.6818951E-9	5.3649088E-5
	21926	AM863555	0	-0.8907996	0.21426022	0.24591903	0.33683625	9.8638315	18.0	1.1024271E-8	3.5148684E-4
	31406	AM865748	0	-0.25809067	0.22348876	0.9119902	0.31369615	10.523472	19.0	2.2993076E-9	7.333871E-5
	39731	AM867243	0	1.0565566	0.15073872	1.6767753	0.20846653	8.351619	20.0	5.9596285E-8	0.0018991549
	4007	FP001859	0	0.300109	0.25693733	1.8620254	0.36589605	12.101678	19.0	2.246483E-10	7.167404E-6
	7130	CU992468	(sp:P18102) Protein tailless OS=Drosophila melanogaster GN=tll PE=1 SV=1	-0.6276208	0.20560126	0.673007	0.22722612	14.702886	21.0	1.5814017E-12	5.046569E-8
	1763	FP089838	0	-0.24860336	0.30564764	2.36001	0.33433762	19.94846	21.0	3.996803E-15	1.2756596E-10
	11208	FP089774	0	0.0014032474	0.29506192	2.4643276	0.20045981	23.917742	19.0	1.110223E-15	3.54361E-11
	17372	FP089743	0	0.44424585	0.3712027	2.5297306	0.14855151	18.06879	14.0	4.2396753E-11	1.3527108E-6
	27018	AM860997	"Toxoplasma gondii ME49 hypothetical protein, mRNA"	0.28618738	0.37426725	2.5033066	0.17992225	18.49484	15.0	9.772405E-12	3.1182768E-7
	14240	AM868454	0	-0.16177382	0.3192952	1.9260856	0.35577673	15.129466	21.0	9.114931E-13	2.908848E-8
	37610	AM862260	0	-0.31843224	0.39465	1.8445134	0.37751296	13.719407	21.0	5.9356964E-12	1.8940807E-7
	40719	CX068843	0	0.26063627	0.19408599	2.2605207	0.4509197	14.112009	14.0	1.137904E-9	3.6298E-5
	23789	AM868375	0	-1.3061248	0.306474	0.6837259	0.37198985	14.301578	21.0	2.688516E-12	8.579324E-8
	15211	CU991496	(sp:P16889) Late histone H2B.L3 OS=Strongylocentrotus purpuratus PE=1 SV=3	0.71132404	0.20976415	2.335229	0.3742808	13.111113	17.0	2.5668156E-10	8.1891685E-6
	24867	AM861118	PREDICTED: coiled-coil domain containing 45 [Taeniopygia guttata]	-0.8659665	0.2072673	0.86182886	0.5273288	10.563466	14.0	4.717713E-8	0.001503488
	4969	FP000833	(sp:P11602) Lipoprotein lipase OS=Gallus gallus GN=LPL PE=1 SV=1	-0.079344995	0.15633899	2.018079	0.5001547	13.865301	13.0	3.628545E-9	1.1572518E-4
	12315	AM862314	(sp:P17892) Pancreatic lipase-related protein 2 OS=Mus musculus GN=Pnliprp2 PE=2 SV=1	-0.5826774	0.17913035	1.7223586	0.52251065	14.45585	13.0	2.1759214E-9	6.940537E-5
	43740	AM857075	(sp:Q17RR3) Pancreatic lipase-related protein 3 OS=Homo sapiens GN=PNLIPRP3 PE=2 SV=2	0.38130215	0.15787622	2.3422325	0.35316658	17.559504	15.0	2.0607294E-11	6.575169E-7
	15474	AM866691	0	-0.15387887	0.22348128	2.3606446	0.3672266	20.262648	18.0	7.682743E-14	2.4519475E-9
	36011	CU989082	0	0.14182977	0.0855098	2.0153837	0.4088967	15.536336	11.0	7.869216E-9	2.5093355E-4
	31244	AM861162	hydrolase [gamma proteobacterium NOR5-3]	0.12202036	0.1711391	1.6923952	0.49923927	10.307639	13.0	1.2645062E-7	0.0040279576
	6254	CU991090	(sp:Q1JQ19) DEP domain-containing protein 7 OS=Danio rerio GN=depdc7 PE=2 SV=1	-0.019577133	0.06455673	1.5351963	0.45130387	11.813819	11.0	1.3658939E-7	0.004350645
	6514	CU987036	(sp:Q78PB6) Nuclear distribution protein nudE-like 1 OS=Rattus norvegicus GN=Ndel1 PE=1 SV=1	-0.06027669	0.16458406	1.6088829	0.45057723	12.053769	13.0	1.9806127E-8	6.3135993E-4
	19736	CU993910	0	-0.13617341	0.082274966	1.6220795	0.45567077	13.153898	11.0	4.503033E-8	0.0014351166
	21821	AM865235	0	-0.24947582	0.18810499	1.795031	0.5810808	11.595846	13.0	3.148349E-8	0.0010035047
	9327	AM860522	0	-0.73150015	0.17024198	1.6587301	0.76318	10.589083	12.0	1.9229904E-7	0.0061239554
	32806	AM858715	0	-0.6027306	0.17835765	1.7991967	0.7440298	10.874947	12.0	1.436578E-7	0.0045755007
	29033	AM868083	(sp:P51637) Caveolin-3 OS=Mus musculus GN=Cav3 PE=1 SV=1	0.36996555	0.09626663	1.9573365	0.45629537	11.791435	11.0	1.392722E-7	0.004435959
	36375	AM867748	0	-0.57937664	0.08659696	1.3816013	0.52438086	12.781265	11.0	6.0674154E-8	0.0019334427
	37891	EW779447	(sp:Q9XSK2) CD63 antigen OS=Bos taurus GN=CD63 PE=2 SV=4	0.07021643	0.12296536	2.1246703	0.44589248	15.38652	12.0	2.904354E-9	9.263147E-5
	20423	CU991121	0	-0.37207937	0.13641724	1.8343116	0.43524504	16.756811	13.0	3.495466E-10	1.1151236E-5
	39536	CU987950	0	-0.3272983	0.09020297	1.7415038	0.46670344	15.076644	11.0	1.08011555E-8	3.4438403E-4
	43883	AM865152	0	-0.54735315	0.12121188	1.2662762	0.4362284	13.876356	12.0	9.435689E-9	3.0086635E-4
